client_id,district_id,birthdate,gender
1,18,1970-12-13,F
2,1,1945-2-04,M
3,1,1940-10-09,F
4,5,1956-12-01,M
5,5,1960-7-03,F
6,12,1919-9-22,M
7,15,1929-1-25,M
8,51,1938-2-21,F
9,60,1935-10-16,M
10,57,1943-5-01,M
11,57,1950-8-22,F
12,40,1981-2-20,M
13,54,1974-5-29,F
14,76,1942-6-22,F
15,21,1918-8-28,F
16,21,1919-2-25,M
17,76,1934-10-13,M
18,76,1931-4-05,F
19,47,1942-12-28,M
20,46,1979-1-04,M
21,12,1952-10-29,F
22,1,1969-10-11,F
23,1,1973-5-29,M
24,43,1939-7-29,F
25,21,1939-4-23,F
26,74,1969-4-20,F
27,54,1966-3-26,F
28,1,1945-9-29,M
29,30,1951-9-11,F
30,74,1957-10-09,F
31,68,1962-2-09,M
32,52,1980-7-28,M
33,73,1948-12-04,F
36,7,1978-7-17,F
37,7,1970-8-10,M
38,36,1973-7-23,F
39,68,1968-1-25,M
40,5,1957-1-22,F
41,22,1968-8-27,M
42,68,1935-8-17,M
43,75,1920-10-28,M
44,38,1977-1-11,F
45,20,1952-8-26,M
46,19,1940-1-30,F
47,76,1934-7-14,M
48,16,1940-2-09,M
49,72,1959-5-11,F
50,39,1978-7-30,F
51,36,1979-12-02,F
52,32,1924-12-12,M
53,64,1977-5-05,M
55,45,1948-9-18,F
56,21,1960-3-31,M
57,21,1961-12-17,F
58,1,1927-4-29,F
59,1,1957-2-18,M
60,67,1980-2-19,M
61,16,1948-8-06,F
62,77,1932-12-08,M
63,4,1959-6-04,M
64,20,1926-4-22,M
65,50,1943-5-27,F
66,1,1951-11-10,F
67,29,1932-11-11,F
68,43,1946-12-14,M
70,70,1925-12-22,M
71,70,1927-2-06,F
72,47,1923-1-13,M
73,22,1924-2-20,M
74,22,1925-7-26,F
75,64,1977-9-19,F
76,36,1967-10-01,F
77,1,1956-2-18,F
78,16,1944-6-13,F
79,37,1969-3-10,F
80,64,1979-2-25,F
81,8,1976-4-29,M
82,8,1979-12-25,F
83,1,1978-12-25,F
84,1,1979-5-05,M
85,1,1961-8-27,M
86,1,1969-7-20,F
87,72,1946-11-17,F
89,1,1951-5-05,F
90,52,1975-8-17,M
91,63,1940-8-07,M
92,74,1966-6-12,F
93,3,1925-2-16,M
94,43,1947-9-09,M
95,43,1952-8-03,F
96,74,1972-2-29,M
97,26,1965-11-28,M
98,33,1973-5-04,F
99,33,1973-1-26,M
100,44,1942-8-11,F
101,68,1943-1-23,M
102,74,1958-9-10,F
103,74,1955-7-11,M
105,31,1980-5-26,M
106,68,1968-12-30,F
107,1,1972-6-23,M
108,17,1963-9-13,M
110,2,1967-4-13,F
112,1,1935-1-25,M
113,1,1940-8-15,F
114,74,1969-6-24,F
115,74,1969-12-24,M
116,74,1942-1-28,M
117,74,1936-9-20,F
118,55,1922-7-19,M
119,55,1922-2-28,F
120,1,1976-5-10,M
121,41,1978-10-29,F
122,35,1963-11-13,F
123,11,1969-2-12,M
124,44,1967-9-21,M
125,37,1936-10-31,M
126,37,1929-9-27,F
127,21,1950-12-27,F
128,63,1973-4-04,F
129,64,1947-5-31,F
130,53,1942-2-14,M
131,53,1977-1-31,F
132,36,1953-1-26,M
134,6,1932-1-18,M
135,6,1938-9-10,F
136,55,1921-1-26,F
137,60,1923-9-14,M
138,54,1972-10-21,F
139,8,1959-7-25,F
140,8,1961-6-06,M
141,31,1925-11-02,M
142,68,1937-6-21,M
143,27,1978-7-09,M
144,65,1958-12-06,M
145,55,1978-2-14,M
146,31,1961-12-19,F
147,21,1933-11-02,F
148,21,1940-12-25,M
149,55,1948-6-27,M
150,2,1980-9-27,F
151,51,1971-9-23,F
152,29,1945-12-02,F
153,13,1981-2-12,F
154,74,1933-8-27,M
155,74,1939-3-13,F
156,54,1930-7-22,F
157,52,1943-7-09,F
158,40,1945-7-03,F
159,40,1938-9-10,M
160,64,1942-4-26,F
161,34,1943-10-07,F
162,65,1941-10-17,M
163,74,1933-6-12,M
164,70,1962-4-04,F
165,22,1968-11-08,M
166,22,1961-10-22,F
167,38,1978-4-18,F
168,24,1976-11-05,F
169,38,1953-9-12,M
170,38,1946-6-16,F
171,51,1929-6-25,M
172,51,1935-10-05,F
173,21,1918-12-08,F
174,10,1978-11-10,M
175,31,1960-7-13,M
176,4,1929-3-11,M
178,8,1960-12-22,M
179,43,1980-12-29,M
180,73,1982-1-19,M
181,76,1967-7-06,M
182,76,1959-7-13,F
183,1,1978-3-19,F
184,1,1972-6-05,M
185,77,1954-5-30,M
186,46,1961-2-22,F
187,58,1942-8-23,M
188,64,1960-9-02,M
189,11,1919-8-10,M
190,37,1947-10-31,F
191,37,1954-9-03,M
192,70,1971-2-28,M
193,1,1962-5-01,M
194,28,1924-12-20,F
195,74,1919-11-18,M
196,74,1927-6-25,F
197,30,1933-4-25,M
198,60,1976-7-14,M
199,29,1923-6-21,M
200,29,1928-1-13,F
201,17,1930-8-19,F
202,29,1976-11-21,F
203,31,1962-6-10,M
204,31,1967-6-17,F
205,4,1942-6-15,F
206,59,1963-4-13,F
207,46,1932-5-20,M
208,13,1940-6-25,F
209,13,1935-8-20,M
210,66,1939-11-30,M
211,66,1945-6-28,F
212,52,1975-2-10,M
215,71,1967-9-24,M
216,1,1960-1-30,M
217,59,1974-12-22,F
218,1,1980-1-23,F
219,60,1964-4-02,F
221,21,1977-2-25,F
222,47,1972-6-29,F
223,43,1952-2-27,F
224,77,1955-5-11,M
225,32,1936-5-10,M
226,1,1942-6-16,M
227,52,1926-12-18,F
228,48,1956-3-16,F
229,76,1969-7-22,M
230,74,1967-3-10,F
231,41,1941-2-18,M
232,55,1921-6-17,F
233,69,1958-12-03,F
234,69,1955-6-21,M
235,44,1943-8-28,F
236,70,1961-9-01,M
237,70,1969-2-22,F
238,6,1961-11-28,F
239,1,1974-9-10,F
240,34,1929-6-17,F
241,70,1959-1-23,M
242,17,1961-8-01,F
243,63,1954-2-10,M
246,67,1970-12-28,F
247,1,1957-5-08,M
248,61,1969-12-12,F
249,61,1970-5-05,M
250,8,1979-11-25,F
251,54,1976-3-03,F
252,37,1969-9-01,F
253,48,1947-5-12,F
254,28,1963-5-30,M
255,27,1951-10-11,F
256,73,1963-2-27,F
257,22,1942-11-04,F
258,22,1937-5-31,M
259,31,1966-6-08,M
260,31,1962-2-24,F
261,38,1937-12-07,F
262,77,1945-11-25,M
263,68,1962-5-20,M
264,28,1978-8-22,M
265,72,1933-1-07,F
266,19,1967-8-28,F
267,37,1967-6-12,M
268,39,1982-5-02,F
269,15,1923-12-03,F
270,46,1947-3-08,M
271,46,1945-7-27,F
272,70,1944-10-25,F
273,27,1972-5-15,F
274,17,1970-11-25,F
275,1,1918-11-12,F
276,1,1957-6-11,M
277,1,1961-11-28,F
278,22,1972-12-27,F
279,22,1970-5-16,M
280,45,1969-12-18,F
282,73,1938-2-24,F
283,73,1933-11-04,M
284,10,1974-8-06,M
285,72,1954-6-03,M
286,72,1952-4-18,F
287,50,1980-9-09,M
288,6,1962-4-21,M
289,54,1958-3-27,M
290,72,1959-1-12,M
291,72,1955-4-27,F
292,15,1958-9-06,F
293,69,1943-9-27,M
294,58,1968-3-21,M
295,12,1939-3-27,M
296,65,1974-3-01,M
297,65,1924-3-15,F
298,65,1921-6-13,M
300,1,1957-7-30,F
301,28,1942-1-10,M
302,56,1971-2-23,M
303,74,1946-5-06,M
304,19,1934-3-11,F
305,46,1938-6-08,M
308,68,1976-6-12,F
309,37,1969-12-14,F
310,11,1950-4-16,M
311,64,1930-9-16,F
312,2,1924-7-03,M
313,24,1942-5-11,F
314,24,1945-3-22,M
315,54,1967-5-01,M
316,75,1955-4-28,M
317,64,1957-10-06,F
318,15,1943-4-02,F
319,19,1929-4-04,F
320,19,1934-11-12,M
321,47,1943-10-24,F
322,38,1933-2-01,M
323,38,1938-4-04,F
324,3,1960-12-03,M
325,3,1960-2-21,M
326,27,1967-9-18,F
327,27,1968-10-13,M
328,1,1918-1-24,F
329,11,1964-12-03,M
330,65,1944-8-05,F
331,1,1942-3-02,M
332,29,1978-7-25,M
333,38,1971-10-19,M
334,32,1969-10-31,M
335,73,1967-7-22,F
336,39,1964-2-11,F
337,39,1957-5-08,M
338,8,1951-6-19,F
339,1,1966-7-30,M
340,1,1970-8-19,F
341,69,1977-3-16,M
342,69,1972-6-30,F
343,44,1919-11-19,M
344,54,1963-7-16,F
345,17,1953-12-07,M
346,17,1960-11-02,F
347,71,1959-12-13,M
348,71,1953-1-24,F
349,39,1927-5-27,F
350,25,1925-4-02,F
351,1,1973-5-01,M
352,56,1940-8-27,M
353,7,1965-10-26,M
354,49,1922-4-27,F
355,49,1930-5-31,M
356,1,1979-12-07,F
357,1,1979-3-30,M
358,7,1959-6-26,F
359,66,1970-2-16,M
360,49,1943-4-27,M
361,74,1977-5-25,F
362,35,1950-4-27,F
363,35,1942-7-01,M
364,54,1942-12-05,F
365,1,1930-1-09,M
366,1,1936-11-10,F
367,60,1963-9-03,F
368,60,1968-10-14,M
369,7,1930-11-06,F
370,71,1956-1-05,F
371,4,1942-7-16,M
372,34,1932-4-03,M
