age,gender,frequency,account_age,card_type,loan_id,loan_date,amount,duration,payments,status,loan_year,loan_month,client_district_habitants,client_district_mun_under_499,client_district_mun_under_1999,client_district_mun_under_9999,client_district_mun_higher_10000,client_district_cities,client_district_inhab_ration,client_district_average_salary,client_district_95_unemp,client_district_96_unemp,client_district_entrepren,client_district_95_crimes,client_district_96_crimes,account_district_habitants,account_district_mun_under_499,account_district_mun_under_1999,account_district_mun_under_9999,account_district_mun_higher_10000,account_district_cities,account_district_inhab_ration,account_district_average_salary,account_district_95_unemp,account_district_96_unemp,account_district_entrepren,account_district_95_crimes,account_district_96_crimes,credit count,credit balance mean,credit balance min,credit balance max,credit amount mean,credit amount min,credit amount max,credit amount std,withdrawal count,withdrawal balance mean,withdrawal balance min,withdrawal balance max,withdrawal amount mean,withdrawal amount min,withdrawal amount max,withdrawal amount std,OPERATION A amount mean,OPERATION A count,OPERATION B amount mean,OPERATION B count,OPERATION C amount mean,OPERATION C count,OPERATION D amount mean,OPERATION D count,OPERATION E amount mean,OPERATION E count,OPERATION F amount mean,OPERATION F count,balance_to_loan_ratio,balance_on_request
54,1,1,6,0,4959,94-01-05,80952,24,3373,1,94,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,22,36474.0,1100.0,67530.0,10395.0,14.0,30354.0,11457.0,32.0,29921.0,10508.0,49180.0,6276.0,15.0,22400.0,6011.0,2400.0,2,22260.0,10.0,6093.0,27.0,7266.0,5.0,0.0,0.0,129.0,10.0,0.3440952663306651,27855.2
60,2,1,4,0,4961,96-04-29,30276,12,2523,-1,96,4,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,46,27017.0,1000.0,58158.0,5265.0,47.0,22708.0,7281.0,34.0,22734.0,715.0,43946.0,6657.0,15.0,18200.0,6811.0,3044.0,9,16303.0,13.0,6657.0,34.0,0.0,0.0,0.0,0.0,118.0,24.0,0.5236490949927335,15854.0
55,2,1,5,0,4973,96-05-02,165960,24,6915,1,96,5,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,37,60600.0,700.0,107070.0,21980.0,58.0,62235.0,23314.0,88.0,49127.0,17414.0,83407.0,8972.0,15.0,41400.0,10477.0,700.0,1,44948.0,18.0,11564.0,60.0,3419.0,28.0,0.0,0.0,194.0,18.0,0.14282839238370693,23703.8
54,2,3,3,0,4996,96-11-06,88440,12,7370,1,96,11,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,16,70112.0,200.0,103239.0,16853.0,117.0,47976.0,17191.0,15.0,54955.0,35900.0,78908.0,12716.0,100.0,35100.0,12115.0,26812.0,10,0.0,0.0,12716.0,15.0,0.0,0.0,0.0,0.0,253.0,6.0,0.8933469018543646,79007.6
60,1,1,6,0,5002,94-05-31,104808,12,8734,1,94,5,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,12,38186.0,500.0,57865.0,9470.0,20.0,25970.0,9987.0,18.0,39059.0,24170.0,51609.0,4757.0,15.0,16400.0,4703.0,16148.0,7,0.0,0.0,6841.0,10.0,2152.0,8.0,0.0,0.0,122.0,5.0,0.26730211434241663,28015.4
59,1,1,6,0,5032,94-11-03,123696,48,2577,1,94,11,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,22,54791.0,300.0,89822.0,12985.0,60.0,48476.0,17309.0,39.0,45865.0,22488.0,86548.0,6679.0,15.0,32100.0,7958.0,23625.0,12,0.0,0.0,8330.0,27.0,2964.0,12.0,0.0,0.0,217.0,10.0,0.2036217824343552,25187.2
34,1,1,6,0,5044,94-12-21,100980,60,1683,1,94,12,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,27,36705.0,600.0,53377.0,7693.0,76.0,20922.0,8018.0,43.0,34930.0,21977.0,49320.0,3734.0,15.0,22900.0,4271.0,13736.0,15,0.0,0.0,3468.0,34.0,4739.0,9.0,0.0,0.0,138.0,12.0,0.48165676371558724,48637.7
52,1,1,6,0,5045,95-05-01,187224,24,7801,-1,95,5,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,38,47282.0,200.0,92571.0,13214.0,17.0,46293.0,16502.0,50.0,38134.0,-243.0,92557.0,9026.0,0.0,51900.0,10260.0,23785.0,21,0.0,0.0,9026.0,50.0,0.0,0.0,0.0,0.0,157.0,17.0,0.2715041874973294,50832.1
34,2,1,6,0,5060,94-07-19,252060,60,4201,-1,94,7,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,26,59491.0,900.0,106260.0,14985.0,8.0,49937.0,12930.0,35.0,55743.0,20212.0,91584.0,9129.0,15.0,41700.0,10374.0,20439.0,19,0.0,0.0,11104.0,25.0,4192.0,10.0,0.0,0.0,182.0,7.0,0.2780945013092121,70096.5
33,2,1,4,0,5082,96-10-24,262980,60,4383,1,96,10,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,24,45173.0,900.0,78574.0,10114.0,66.0,44022.0,14844.0,32.0,39147.0,24214.0,73583.0,5208.0,15.0,22300.0,6354.0,18528.0,13,0.0,0.0,5208.0,32.0,0.0,0.0,0.0,0.0,170.0,11.0,0.2893045098486577,76081.3
