account_id,district_id,frequency,date
576,55,M,6
3818,74,M,6
704,55,M,6
2378,16,M,6
2632,24,M,6
1972,77,M,6
1539,1,AT,6
793,47,M,6
2484,74,M,6
1695,76,M,6
1726,48,M,6
2881,70,M,6
2357,19,M,6
2177,62,M,6
485,6,AT,6
652,21,M,6
9635,70,M,6
1844,44,M,6
1926,37,M,6
2393,10,M,6
3510,41,M,6
1276,36,M,6
1637,1,M,6
3871,26,M,6
192,55,M,6
764,1,M,6
2087,7,W,6
2122,68,M,6
3592,54,M,6
3487,41,M,6
435,38,M,6
1730,1,M,6
1493,41,M,6
374,38,M,6
2925,1,M,6
866,9,M,6
1628,60,M,6
2379,44,M,6
1979,26,M,6
346,37,M,6
1338,74,M,6
1909,14,M,6
2099,3,W,6
3760,44,M,6
5270,44,M,6
1699,53,M,6
3909,1,M,6
2926,50,M,6
1731,33,M,6
11265,15,M,6
2519,4,M,6
10364,55,M,6
1481,15,M,6
401,32,M,6
4034,1,M,6
2330,54,M,6
1806,40,M,6
3834,54,M,6
1222,66,M,6
212,27,W,6
456,49,M,6
459,47,M,6
772,45,M,6
1019,52,M,6
11295,74,M,6
2970,60,M,6
2676,73,M,6
1536,41,W,6
1179,74,M,6
280,25,M,6
2425,41,M,6
9307,68,M,6
4055,23,M,6
5065,66,M,6
3704,75,M,6
477,1,M,6
5891,54,M,6
1000,77,M,6
1750,1,M,6
2023,68,M,6
6473,12,M,6
1649,46,M,6
2670,13,M,6
1127,27,M,6
163,30,M,6
2566,48,M,6
9,70,M,6
1144,59,M,6
2902,32,M,6
4296,63,M,6
443,64,M,6
3693,61,M,6
2070,72,M,6
1843,12,M,6
2714,1,M,6
4078,40,M,6
1675,36,M,6
5868,44,M,6
1805,1,M,6
2434,17,M,6
3007,16,M,6
2574,68,M,6
862,64,W,6
1132,1,W,6
4484,54,M,6
943,1,M,6
3514,7,M,6
3983,67,M,6
9265,1,M,6
465,32,M,6
982,54,M,6
411,70,M,6
890,14,M,6
627,63,M,6
2429,61,M,6
3960,64,M,6
2256,48,M,6
8051,1,W,6
2647,73,M,6
2241,6,M,6
5622,70,M,6
2884,1,M,6
1830,10,M,6
7753,74,M,6
244,24,M,6
1477,1,M,6
4240,50,M,6
1006,6,M,6
830,74,M,6
9188,45,M,6
1965,57,AT,6
1134,6,M,6
1601,10,M,6
2861,38,M,6
813,16,M,6
2585,75,M,6
2220,16,M,6
2763,64,M,6
2342,51,M,6
1944,72,M,6
1966,27,M,6
1801,46,M,6
2543,68,M,6
2293,31,M,6
11013,1,W,6
2423,30,M,6
142,51,M,6
3424,74,M,6
539,13,AT,6
979,21,M,6
3554,66,M,6
3545,51,M,6
3047,16,M,6
3374,21,M,6
96,68,M,6
461,30,M,6
3593,1,M,6
3026,24,M,6
1054,10,M,6
2433,71,M,6
3691,50,M,6
3787,70,M,6
128,2,M,6
3168,39,M,6
4937,12,M,6
2124,69,M,6
322,1,M,6
4355,31,M,6
1678,1,M,6
2396,2,M,6
1005,54,W,6
697,28,M,6
925,59,M,6
2110,64,M,6
1366,60,M,6
1050,57,AT,6
3117,33,M,6
562,50,M,6
5369,54,M,6
2242,7,W,6
197,1,M,6
496,69,M,6
2,1,M,6
7401,1,M,6
2486,1,M,6
428,1,M,6
3651,23,M,6
1775,17,M,6
1688,70,M,6
361,51,M,6
1829,43,M,6
1575,1,M,6
9203,70,M,6
3008,72,M,6
239,69,W,6
3302,21,M,6
415,25,M,6
3513,20,M,6
4134,7,M,6
1077,14,M,6
1713,43,M,6
1378,59,M,6
2503,1,M,6
559,46,M,6
6555,38,W,6
744,42,M,6
882,9,M,6
86,54,M,6
1126,56,M,6
2666,49,M,6
944,70,M,6
1545,1,M,6
2453,1,M,6
3734,43,M,6
3935,23,M,6
396,21,M,6
2694,7,M,6
4596,74,M,6
2489,72,M,6
2895,19,M,6
317,76,M,6
2555,53,M,6
494,60,M,6
2219,60,M,6
2581,72,M,6
112,6,M,6
3674,38,M,6
2039,44,M,6
2712,9,M,6
395,1,M,6
2974,9,M,6
123,21,M,6
9640,1,M,6
3108,53,M,6
2508,34,M,6
2458,40,W,6
588,66,M,6
7231,10,M,6
6701,49,W,6
3883,72,M,6
222,37,M,6
2497,65,M,6
1372,1,M,6
3835,50,M,6
7445,64,M,6
2527,38,M,6
425,9,M,6
860,1,M,6
6034,6,W,6
11065,11,M,6
9883,1,M,6
115,68,M,6
1189,59,M,6
3675,64,M,6
3069,66,M,6
2762,19,M,6
892,70,M,6
1535,46,M,6
2618,60,M,6
2651,2,M,6
5442,34,M,6
1787,30,W,6
1397,17,M,6
3785,10,M,6
623,1,M,6
8260,31,M,6
3678,1,M,6
3001,1,M,6
655,53,M,6
4093,1,M,6
3260,68,M,6
2528,65,M,6
2011,75,M,6
1721,68,M,6
1332,59,M,6
1402,74,M,6
3283,68,M,6
3781,31,M,6
7203,71,M,6
1065,72,M,6
3076,54,M,6
4347,1,M,6
