client_id,district_id,age,gender
1,18,29,F
2,1,54,M
3,1,59,F
4,5,43,M
5,5,39,F
6,12,80,M
7,15,70,M
8,51,61,F
9,60,64,M
10,57,56,M
11,57,49,F
12,40,18,M
13,54,25,F
14,76,57,F
15,21,81,F
16,21,80,M
17,76,65,M
18,76,68,F
19,47,57,M
20,46,20,M
21,12,47,F
22,1,30,F
23,1,26,M
24,43,60,F
25,21,60,F
26,74,30,F
27,54,33,F
28,1,54,M
29,30,48,F
30,74,42,F
31,68,37,M
32,52,19,M
33,73,51,F
36,7,21,F
37,7,29,M
38,36,26,F
39,68,31,M
40,5,42,F
41,22,31,M
42,68,64,M
43,75,79,M
44,38,22,F
45,20,47,M
46,19,59,F
47,76,65,M
48,16,59,M
49,72,40,F
50,39,21,F
51,36,20,F
52,32,75,M
53,64,22,M
55,45,51,F
56,21,39,M
57,21,38,F
58,1,72,F
59,1,42,M
60,67,19,M
61,16,51,F
62,77,67,M
63,4,40,M
64,20,73,M
65,50,56,F
66,1,48,F
67,29,67,F
68,43,53,M
70,70,74,M
71,70,72,F
72,47,76,M
73,22,75,M
74,22,74,F
75,64,22,F
76,36,32,F
77,1,43,F
78,16,55,F
79,37,30,F
80,64,20,F
81,8,23,M
82,8,20,F
83,1,21,F
84,1,20,M
85,1,38,M
86,1,30,F
87,72,53,F
89,1,48,F
90,52,24,M
91,63,59,M
92,74,33,F
93,3,74,M
94,43,52,M
95,43,47,F
96,74,27,M
97,26,34,M
98,33,26,F
99,33,26,M
100,44,57,F
101,68,56,M
102,74,41,F
103,74,44,M
105,31,19,M
106,68,31,F
107,1,27,M
108,17,36,M
110,2,32,F
112,1,64,M
113,1,59,F
114,74,30,F
115,74,30,M
116,74,57,M
117,74,63,F
118,55,77,M
119,55,77,F
120,1,23,M
121,41,21,F
122,35,36,F
123,11,30,M
124,44,32,M
125,37,63,M
126,37,70,F
127,21,49,F
128,63,26,F
129,64,52,F
130,53,57,M
131,53,22,F
132,36,46,M
134,6,67,M
135,6,61,F
136,55,78,F
137,60,76,M
138,54,27,F
139,8,40,F
140,8,38,M
141,31,74,M
142,68,62,M
143,27,21,M
144,65,41,M
145,55,21,M
146,31,38,F
147,21,66,F
148,21,59,M
149,55,51,M
150,2,19,F
151,51,28,F
152,29,54,F
153,13,18,F
154,74,66,M
155,74,60,F
156,54,69,F
157,52,56,F
158,40,54,F
159,40,61,M
160,64,57,F
161,34,56,F
162,65,58,M
163,74,66,M
164,70,37,F
165,22,31,M
166,22,38,F
167,38,21,F
168,24,23,F
169,38,46,M
170,38,53,F
171,51,70,M
172,51,64,F
173,21,81,F
174,10,21,M
175,31,39,M
176,4,70,M
178,8,39,M
179,43,19,M
180,73,17,M
181,76,32,M
182,76,40,F
183,1,21,F
184,1,27,M
185,77,45,M
186,46,38,F
