loan_id,account_id,loan_date,loan_amount,loan_duration,loan_payments,status_loan,loan_year,loan_month
5314,1787,93-07-05,96396,12,8033,-1,93,07
5316,1801,93-07-11,165960,36,4610,1,93,07
6863,9188,93-07-28,127080,60,2118,1,93,07
5325,1843,93-08-03,105804,36,2939,1,93,08
7240,11013,93-09-06,274740,60,4579,1,93,09
6687,8261,93-09-13,87840,24,3660,1,93,09
7284,11265,93-09-15,52788,12,4399,1,93,09
6111,5428,93-09-24,174744,24,7281,-1,93,09
7235,10973,93-10-13,154416,48,3217,1,93,10
5997,4894,93-11-04,117024,24,4876,1,93,11
7121,10364,93-11-10,21924,36,609,1,93,11
6077,5270,93-11-22,79608,24,3317,1,93,11
6228,6034,93-12-01,464520,60,7742,-1,93,12
6356,6701,93-12-08,95400,36,2650,1,93,12
5523,2705,93-12-08,93888,36,2608,1,93,12
6456,7123,93-12-09,47016,12,3918,1,93,12
7104,10320,93-12-13,259740,60,4329,1,93,12
6820,9034,93-12-16,38148,12,3179,1,93,12
6876,9236,93-12-21,86616,12,7218,1,93,12
7097,10266,93-12-23,75624,24,3151,-1,93,12
4959,2,94-01-05,80952,24,3373,1,94,01
6499,7401,94-01-05,80952,24,3373,1,94,01
5479,2486,94-01-10,24516,12,2043,1,94,01
5170,1071,94-01-20,253200,60,4220,1,94,01
6721,8475,94-01-21,21072,24,878,1,94,01
7259,11111,94-01-31,108144,36,3004,1,94,01
5285,1603,94-02-06,78936,12,6578,1,94,02
5189,1166,94-02-07,149040,48,3105,1,94,02
6650,8073,94-02-17,49320,12,4110,-1,94,02
7226,10940,94-02-23,197748,36,5493,1,94,02
6087,5313,94-02-27,300660,60,5011,1,94,02
7262,11135,94-03-01,182628,36,5073,1,94,03
5519,2694,94-03-08,91632,12,7636,1,94,03
6577,7753,94-03-11,51696,24,2154,1,94,03
6509,7445,94-03-15,55368,24,2307,1,94,03
6520,7485,94-03-16,91200,24,3800,1,94,03
6699,8330,94-03-30,7656,24,319,1,94,03
6336,6555,94-03-31,212400,36,5900,1,94,03
7055,10079,94-04-06,167100,60,2785,1,94,04
6103,5385,94-04-07,149340,60,2489,1,94,04
6202,5891,94-04-18,65184,12,5432,1,94,04
7066,10131,94-05-02,215388,36,5983,-1,94,05
6696,8321,94-05-09,89040,60,1484,1,94,05
6072,5256,94-05-10,193968,36,5388,1,94,05
5130,813,94-05-11,24312,12,2026,1,94,05
5568,2933,94-05-17,272520,60,4542,1,94,05
6678,8173,94-05-20,80340,12,6695,1,94,05
6998,9833,94-05-21,97632,12,8136,1,94,05
