account_id,credit count,credit balance mean,credit balance min,credit balance max,credit amount mean,credit amount min,credit amount max,credit amount std,withdrawal count,withdrawal balance mean,withdrawal balance min,withdrawal balance max,withdrawal amount mean,withdrawal amount min,withdrawal amount max,withdrawal amount std,OPERATION A amount mean,OPERATION A count,OPERATION B amount mean,OPERATION B count,OPERATION C amount mean,OPERATION C count,OPERATION D amount mean,OPERATION D count,OPERATION E amount mean,OPERATION E count,OPERATION F amount mean,OPERATION F count
5270,22,78317.0,800.0,125826.0,23558.0,110.0,67124.0,24223.0,31.0,64020.0,31252.0,103746.0,13372.0,15.0,51700.0,13529.0,800.0,1,46783.0,11.0,13372.0,31.0,0.0,0.0,0.0,0.0,287.0,10.0
11265,21,23451.0,1000.0,41469.0,4304.0,44.0,11427.0,3881.0,22.0,21003.0,14717.0,29920.0,3153.0,15.0,17920.0,3849.0,6411.0,14,0.0,0.0,4065.0,14.0,1556.0,8.0,0.0,0.0,90.0,7.0
10364,21,34429.0,1100.0,60432.0,7552.0,38.0,21740.0,7696.0,24.0,34135.0,24950.0,54170.0,4563.0,15.0,17200.0,4616.0,13123.0,12,0.0,0.0,4115.0,19.0,6262.0,5.0,0.0,0.0,123.0,9.0
3834,48,26976.0,700.0,54322.0,6742.0,35.0,20812.0,7257.0,123.0,22521.0,6791.0,54060.0,2399.0,15.0,24000.0,3076.0,11093.0,29,0.0,0.0,3076.0,62.0,1711.0,61.0,0.0,0.0,101.0,19.0
9307,63,37854.0,900.0,129123.0,7939.0,1.0,48546.0,14137.0,80.0,34684.0,7917.0,78224.0,5762.0,15.0,51700.0,7916.0,19071.0,26,0.0,0.0,7002.0,50.0,3694.0,30.0,0.0,0.0,116.0,37.0
5891,30,53296.0,900.0,102410.0,17496.0,22.0,48891.0,18013.0,52.0,44040.0,21633.0,98110.0,8786.0,15.0,39900.0,9086.0,900.0,1,34767.0,15.0,8786.0,52.0,0.0,0.0,0.0,0.0,177.0,14.0
6473,42,60244.0,1100.0,126003.0,15876.0,17.0,47434.0,16557.0,60.0,47743.0,7889.0,93468.0,10865.0,15.0,52200.0,11345.0,25526.0,26,0.0,0.0,10865.0,60.0,0.0,0.0,0.0,0.0,196.0,16.0
1843,13,39400.0,1000.0,65898.0,9255.0,133.0,26448.0,9819.0,12.0,43353.0,31698.0,63098.0,7168.0,15.0,15600.0,4919.0,2450.0,2,19101.0,6.0,7203.0,10.0,6994.0,2.0,0.0,0.0,160.0,5.0
9265,53,52173.0,300.0,103467.0,9203.0,21.0,49603.0,15029.0,62.0,46186.0,5436.0,99450.0,7482.0,15.0,38400.0,8982.0,22968.0,21,0.0,0.0,7840.0,39.0,6874.0,23.0,0.0,0.0,171.0,32.0
8051,33,47616.0,200.0,82982.0,12820.0,79.0,39060.0,14198.0,52.0,41615.0,19910.0,74636.0,7286.0,30.0,29700.0,7733.0,1200.0,3,27776.0,15.0,7286.0,52.0,0.0,0.0,0.0,0.0,188.0,15.0
7753,44,68480.0,600.0,124339.0,16547.0,120.0,46889.0,16359.0,58.0,50448.0,20809.0,99668.0,11894.0,15.0,59600.0,15573.0,23393.0,31,0.0,0.0,12739.0,53.0,0.0,0.0,2940.0,5.0,222.0,13.0
5622,67,81394.0,700.0,136437.0,20124.0,90.0,48883.0,17276.0,129.0,60879.0,23337.0,111197.0,9930.0,15.0,64400.0,12024.0,29188.0,46,0.0,0.0,12438.0,93.0,3450.0,36.0,0.0,0.0,270.0,21.0
9188,15,28024.0,800.0,49590.0,5010.0,49.0,19065.0,6801.0,9.0,33457.0,20273.0,47680.0,6097.0,66.0,14800.0,5391.0,2250.0,2,13981.0,5.0,7733.0,6.0,2824.0,3.0,0.0,0.0,93.0,8.0
813,37,30046.0,1100.0,48278.0,5602.0,36.0,18231.0,6334.0,41.0,28781.0,20296.0,41802.0,4361.0,15.0,24322.0,5776.0,1557.0,7,12964.0,15.0,4361.0,41.0,0.0,0.0,0.0,0.0,126.0,15.0
1801,17,53287.0,700.0,120513.0,13523.0,3.0,36574.0,13998.0,20.0,51061.0,23795.0,103028.0,8884.0,15.0,54300.0,14075.0,19088.0,12,0.0,0.0,13019.0,12.0,2682.0,8.0,0.0,0.0,169.0,5.0
11013,13,62864.0,600.0,122893.0,21256.0,77.0,63366.0,24264.0,14.0,51917.0,35844.0,92893.0,16801.0,30.0,36700.0,13982.0,600.0,1,45764.0,6.0,19587.0,11.0,6585.0,3.0,0.0,0.0,190.0,6.0
4937,47,57138.0,700.0,134571.0,14004.0,7.0,46108.0,16026.0,92.0,45942.0,10471.0,96760.0,6737.0,15.0,60500.0,9832.0,21829.0,30,0.0,0.0,9401.0,60.0,1744.0,32.0,0.0,0.0,193.0,17.0
7401,22,36676.0,1100.0,67530.0,10395.0,14.0,30354.0,11457.0,32.0,31000.0,11098.0,49010.0,6248.0,15.0,22400.0,6026.0,2400.0,2,22260.0,10.0,6060.0,27.0,7266.0,5.0,0.0,0.0,130.0,10.0
2,22,36474.0,1100.0,67530.0,10395.0,14.0,30354.0,11457.0,32.0,29921.0,10508.0,49180.0,6276.0,15.0,22400.0,6011.0,2400.0,2,22260.0,10.0,6093.0,27.0,7266.0,5.0,0.0,0.0,129.0,10.0
2486,31,63394.0,200.0,125254.0,20345.0,12.0,49536.0,19409.0,42.0,49817.0,424.0,106875.0,13144.0,15.0,59200.0,15756.0,29948.0,21,0.0,0.0,13144.0,42.0,0.0,0.0,0.0,0.0,177.0,10.0
6555,31,57695.0,300.0,133215.0,13978.0,72.0,48828.0,16886.0,40.0,45872.0,21189.0,97721.0,9227.0,30.0,42900.0,11715.0,22689.0,19,0.0,0.0,9227.0,40.0,0.0,0.0,0.0,0.0,185.0,12.0
2694,27,42459.0,700.0,64578.0,8784.0,54.0,26378.0,9671.0,43.0,40046.0,26516.0,56778.0,4747.0,15.0,18300.0,4193.0,15674.0,15,0.0,0.0,5024.0,35.0,3532.0,8.0,0.0,0.0,172.0,12.0
